Problema,Descrição Geral,Desenvolvimento
"Mercantilização extrema de dados sensíveis","Informações sobre saúde, finanças e comportamento íntimo são tratadas como ativos comerciais valiosos.","Empresas constroem modelos de negócio baseados em monetizar insights sobre indivíduos, muitas vezes sem consentimento granular; vazamentos e usos secundários não autorizados trazem danos reputacionais, financeiros e psicológicos difíceis de reparar."
"Dificuldade de cidadãos exercerem seus direitos de dados","Mesmo onde há leis de proteção, procedimentos são complexos e pouco acessíveis.","Solicitar acesso, correção ou exclusão de dados exige conhecimento técnico e tempo que a maioria não tem; sem ferramentas amigáveis de gestão de privacidade, direitos permanecem mais formais do que efetivos."
"Concentração de poder em poucas plataformas de IA","Modelos fundacionais e infraestruturas críticas estão nas mãos de um pequeno número de empresas globais.","Altas barreiras de entrada em compute, talento e dados criam oligopólios de fato; decisões sobre segurança, usos aceitáveis e preços de acesso são tomadas por poucos atores privados, com impacto transversal sobre economias inteiras."
"Dependência de ecossistemas fechados por parte de governos e empresas","Organizações públicas e privadas constroem soluções em cima de APIs e serviços de um punhado de provedores.","Isso aumenta vulnerabilidade a mudanças unilaterais de termos, precificação e direção tecnológica; em setores críticos como saúde, educação e justiça, essa dependência levanta preocupações sobre soberania digital e continuidade de serviços."
"Asimetria de informação extrema entre desenvolvedores e sociedade","A maior parte da população não entende como modelos de IA funcionam nem seus limites.","Enquanto comunidades técnicas avançam rapidamente, debates públicos e regulações ficam defasados; isso dificulta escrutínio democrático sobre escolhas de design que afetam direitos, trabalho e distribuição de rendas futuras."
"Risco de captura regulatória por grandes players de tecnologia","Empresas dominantes influenciam marcos legais de forma a preservar suas vantagens competitivas.","Propostas de regulação complexas podem ser mais fáceis de cumprir por gigantes com grandes departamentos jurídicos do que por startups e organizações públicas; assim, leis pensadas para mitigar riscos acabam consolidando o poder de quem já está no topo."
"Desigualdade de acesso à infraestrutura de computação avançada","Instituições de pesquisa, governos locais e startups em países emergentes têm dificuldade para competir por recursos de IA.","Compute de alta performance e energia barata se concentram em poucos hubs globais; sem políticas de cooperação, consórcios públicos e modelos abertos robustos, o fosso tecnológico entre regiões tende a se aprofundar."
"Vulnerabilidade cibernética de infraestruturas críticas","Redes elétricas, sistemas de água, hospitais e transporte se tornam alvos privilegiados de ataques sofisticados.","Digitalização acelerada e integração de sistemas legados com novas tecnologias criam superfícies de ataque amplas; atores estatais e criminosos podem explorar vulnerabilidades para causar danos físicos e extorsão em larga escala."
"Uso ofensivo de IA em ataques e fraudes","Ferramentas generativas e agênticas reduzem barreiras para campanhas de phishing, deepfakes e automação de crimes.","Ataques se tornam mais personalizados, persuasivos e difíceis de detectar para usuários comuns; sistemas de defesa precisam correr atrás com soluções igualmente sofisticadas, criando uma corrida armamentista digital."
"Despreparo de pequenas organizações para segurança digital","Escolas, pequenas prefeituras e negócios locais têm baixa capacidade de proteção cibernética.","Sem equipes especializadas ou orçamento dedicado, essas instituições dependem de configurações padrão e boa vontade de fornecedores; incidentes podem interromper serviços essenciais e expor dados sensíveis de crianças, pacientes e cidadãos."
"Fadiga regulatória em privacidade e segurança","Organizações se veem diante de uma sopa de normas e frameworks, mas sem orientação prática clara.","A multiplicidade de padrões técnicos e leis nacionais cria confusão e incentiva abordagens meramente formalistas de compliance, em vez de melhorias reais de segurança e proteção de dados; isso alimenta cinismo e subinvestimento em controles eficazes."
"Baixa coordenação internacional em incidentes cibernéticos","Ataques transnacionais são respondidos de forma fragmentada por países com capacidades desiguais.","Ausência de protocolos compartilhados, canais ágeis de cooperação e mecanismos de responsabilização reduz a eficácia da resposta; atores maliciosos aproveitam essas brechas para operar em jurisdições com enforcement fraco."
"Insuficiência de governança global para crises de escassez","Instituições multilaterais foram desenhadas para temas como dívida e comércio, não para cadeias complexas de água, clima e minerais.","Organismos existentes têm dificuldade para coordenar políticas industriais conjuntas, acordos de uso de água e exploração sustentável de recursos; sem nova arquitetura de governança, prolifera a lógica de acordos bilaterais e clubes de aliados que deixam de fora países mais vulneráveis."
"Risco de conflitos por recursos em regiões frágeis","Disputas locais por água, terras férteis e minerais podem escalar em contextos de Estados fracos.","Onde instituições são frágeis e canais de participação são limitados, choques de preço e projetos extrativos mal desenhados alimentam violência, deslocamentos forçados e intervenção de atores armados, incluindo grupos criminosos e milícias."
"Dificuldade de financiar transição justa em países de baixa renda","Capital de longo prazo para projetos de adaptação e energia limpa permanece escasso e caro onde é mais necessário.","Percepção de risco alto, histórico de inadimplência e falta de pipelines de projetos robustos afastam investidores; isso faz com que regiões responsáveis por pouca emissão histórica sofram mais com impactos climáticos, sem recursos para se adaptar."
"Concorrência entre agendas climática e de desenvolvimento imediato","Governos enfrentam trade-offs entre investir em adaptação e atender demandas sociais urgentes.","Em contextos de pobreza e desigualdade, projetos de longo prazo disputam orçamento com programas de transferência de renda, saúde básica e segurança pública; sem mecanismos internacionais de financiamento dedicados, a transição tende a ser adiada em favor de respostas de curto prazo."
"Fragmentação de iniciativas de cooperação sobre escassez","Programas de ajuda, parcerias e fundos temáticos operam de forma desconectada, com sobreposições e lacunas.","Ausência de visão integrada sobre gua, minerais e capital leva a esforços redundantes em algumas áreas e vazio em outras; beneficiários enfrentam burocracia complexa para acessar recursos, reduzindo efetividade das intervenções."
"Educação desatualizada para um mundo de IA e clima extremo","Currículos escolares continuam centrados em memorização e conteúdos estáticos, pouco alinhados a problemas reais emergentes.","Enquanto IA permeia trabalho e decisões cotidianas, e eventos climáticos extremos se tornam mais frequentes, alunos seguem pouco expostos a pensamento crítico, resolução de problemas complexos, alfabetização em dados e compreensão sistêmica de riscos."
"Desigualdade de acesso a alfabetização em IA","A competência para usar e questionar sistemas de IA se concentra em grupos privilegiados, reforçando hierarquias sociais.","Escolas públicas com menos recursos e adultos fora de grandes centros têm acesso limitado a formação em ferramentas digitais avançadas; isso aumenta o fosso entre quem pode instrumentalizar a tecnologia a seu favor e quem é apenas objeto de decisões automatizadas."
"Falta de preparação emocional para incerteza permanente","Sistemas educacionais pouco trabalham habilidades socioemocionais necessárias para lidar com volatilidade e ambiguidade.","Ansiedade climática, medo de obsolescência tecnológica e instabilidade econômica exigem resiliência, colaboração e autoconsciência; porém, avaliações seguem focadas em provas padronizadas, deixando pouco espaço para construção deliberada dessas competências."
"Baixa conexão entre escolas e desafios locais","Projetos escolares raramente se vinculam a problemas reais da comunidade em torno da instituição.","Questões como enchentes, violência, mobilidade e desemprego juvenil poderiam ser laboratório vivo para aprendizagem baseada em projetos; sem essa conexão, estudantes veem o conhecimento escolar como abstrato e pouco útil para transformar sua realidade."
"Ausência de pontes estruturadas entre educação e requalificação contínua","Adultos têm dificuldade de voltar a aprender de forma flexível ao longo da vida.","Oferta de educação técnica e superior ainda é organizada em modelos longos, caros e pouco adaptáveis às jornadas de trabalho atuais; isso dificulta que trabalhadores se reinventem em resposta a mudanças rápidas trazidas por IA, transição energética e choques geopolíticos."
