"Ranking","ID","Problema","Pontuação Total","Percentual (%)","A Natureza da Dor e o Comportamento (%)","Tamanho de Mercado e Potencial de Escala (%)","Timing e Why Now (%)","Validação e Execução Lean (%)","Monetização e Viabilidade de Negócio (%)","Defensibilidade e Competição (%)","Riscos Fatais (Red Flags) (%)"
"172","325","Ruptura da Solidariedade de Vizinhança Frente aos Apps de Micro-Serviços","983.0","52.0","51.0","52.9","55.9","51.3","51.9","52.0","48.8"
"173","443","A Armadilha da Precariedade na Gig Economy","983.0","52.0","52.0","52.1","53.6","51.3","50.0","52.0","54.4"
"174","490","O Novo Apartheid Da Ausência de Letramento E Orquestração de IAs","983.0","52.0","52.2","53.8","53.6","50.0","50.0","50.0","55.0"
"175","492","A Desconexão Total Entre Academia e o Ecossistema Da ""Empresa De Um Solo-Founder""","983.0","52.0","51.7","52.9","51.8","50.0","51.9","52.0","55.0"
"176","7","Licenciamento mineral lento e conflituoso","982.0","52.0","54.9","51.2","50.0","52.7","52.3","50.0","49.4"
"177","38","Rotatividade elevada em setores essenciais","982.0","52.0","55.4","50.0","51.8","51.3","50.0","52.0","51.9"
"178","59","Estigmatização do fracasso financeiro","982.0","52.0","56.8","50.0","50.0","52.0","50.0","50.0","51.9"
"179","80","Concentração de poder em poucas plataformas de IA","982.0","52.0","52.4","52.1","51.8","51.0","51.9","54.0","50.0"
"180","88","Fadiga regulatória em privacidade e segurança","982.0","52.0","52.7","50.0","56.8","51.0","51.5","52.0","50.0"
"181","190","Erosão da Antifragilidade Infantil Sob a Cultura do Super-Monitoramento","982.0","52.0","53.2","51.8","53.6","50.0","50.0","53.0","52.5"
"182","473","Treinamento Predatório Pressionando Direitos Autorais e Privacidade","982.0","52.0","51.7","50.0","54.1","52.0","50.0","60.0","46.9"
"183","32","Subaproveitamento da economia prateada como motor de inovação","981.0","51.9","50.7","52.9","53.6","52.3","51.9","50.0","51.9"
"184","45","Tensões em fronteiras devido a fluxos migratórios climáticos","981.0","51.9","54.4","51.2","51.8","51.3","51.2","50.0","51.9"
"185","57","Assimetria de informação entre fintechs e consumidores","981.0","51.9","54.9","51.2","50.0","51.0","51.9","52.0","50.0"
"186","71","Desconfiança em avaliações e conteúdos sintetizados por IA","981.0","51.9","52.4","51.5","51.8","54.7","51.2","50.0","50.0"
"187","77","Risco de profiling discriminatório em crédito, saúde e justiça","981.0","51.9","52.7","50.9","50.0","52.3","50.0","54.0","54.4"
"188","197","Ruptura Total na Transferência de Sabedoria Intergeracional Corporativa","981.0","51.9","51.0","55.6","53.6","50.0","50.0","53.5","48.8"
"189","239","O ""Tech-Neck"" e A Epidemia de Dor Cervical Gen Z","981.0","51.9","52.2","53.2","53.6","50.0","51.9","50.0","51.9"
"190","316","Canibalismo Imobiliário entre Nômades Digitais Globais e a Base Trabalhadora Turística","981.0","51.9","52.0","53.8","51.8","50.0","50.0","54.0","51.9"
"191","410","Ruptura de PMEs por Políticas de Friendshoring","981.0","51.9","52.0","52.9","53.6","50.0","51.9","52.0","50.6"
"192","420","Colapso do Modelo Atual de Seguro Rural","981.0","51.9","54.4","50.9","51.8","52.3","50.0","52.0","50.0"
"193","453","Colapso da Confiança em Reviews e Depoimentos na Era Sintética","981.0","51.9","53.2","52.1","51.8","50.0","51.9","52.0","51.9"
"194","456","A Morte do Processo de Descoberta por Causa da Curadoria de IA","981.0","51.9","52.7","54.1","51.8","51.0","50.0","52.0","50.0"
"195","206","A Morte do Design de Embalagens Voltado para as Mãos Artríticas","980.0","51.9","52.7","50.0","51.8","54.0","50.0","50.0","55.0"
"196","318","A Ruptura do Conhecimento da Medicina Tropical em Face aos LLMs Globais","980.0","51.9","51.5","52.1","54.1","52.0","50.0","52.0","51.9"
"197","405","Estrangulamento Hidrológico da Matriz Energética","980.0","51.9","52.2","52.9","53.6","50.0","50.0","54.0","50.0"
"198","458","Captura Agressiva da Atenção da Geração Alpha","980.0","51.9","50.7","54.4","53.6","50.0","51.9","52.0","50.0"
"199","468","Inexistência de Soluções Acessíveis de ""Detox Analógico""","980.0","51.9","52.0","50.9","53.6","51.0","51.9","54.0","50.0"
"200","470","Vácuo Legislativo Frente ao Perigo dos Agentes Autônomos de IA","980.0","51.9","52.0","50.9","53.6","50.0","51.5","52.0","55.0"
"201","484","Tensão e Sobrecarga Nas Cidades Receptivas de Migrantes Climáticos Internos","980.0","51.9","52.0","52.9","54.1","50.0","50.0","54.0","50.0"
"202","13","Vulnerabilidade de pequenas e médias empresas à mudança de fornecedor","979.0","51.8","54.9","50.0","51.8","50.0","53.8","52.0","47.5"
"203","73","Perda de repertório cultural compartilhado","979.0","51.8","51.2","52.9","50.0","51.7","51.2","54.0","51.9"
"204","106","Vieses Ocultos na Pontuação de Crédito Agêntica","979.0","51.8","50.7","52.4","53.6","51.0","51.9","52.0","51.9"
"205","146","O Deserto Médico das Populações Rurais Envelhecidas","979.0","51.8","50.7","54.1","51.8","51.7","53.1","52.0","47.5"
"206","149","Crise Aguda de Luto Idoso pela Morte de Pets Companheiros","979.0","51.8","52.0","51.2","53.6","50.0","50.0","52.0","56.2"
"207","165","Riscos Incalculáveis do Procurement Totalmente Autônomo","979.0","51.8","51.7","50.3","51.8","51.3","51.9","50.0","58.1"
"208","224","Custo Proibitivo de Inferência para Aplicações Autônomas de Longa Duração","979.0","51.8","52.4","50.9","55.9","51.3","50.0","50.0","52.5"
"209","261","Descolamento e Inflação de Insumos da Indústria Global de Celulose e Papelão","979.0","51.8","52.9","52.9","55.5","50.0","50.0","50.0","50.0"
"210","467","Explosão de Doenças Psicossomáticas por Isolamento Comunitário","979.0","51.8","53.2","51.5","55.9","50.0","50.0","50.0","51.9"
"211","475","Vulnerabilidade Crítica de Startups Baseadas Apenas em Funcionalidade de IA","979.0","51.8","52.2","53.2","51.8","51.0","51.9","53.5","46.9"
"212","20","Subinvestimento em soluções descentralizadas de energia","978.0","51.7","51.0","50.0","52.3","53.0","52.7","54.0","50.0"
"213","50","Crise de habitação acessível em grandes cidades","978.0","51.7","53.2","50.0","53.6","54.3","51.2","50.0","47.5"
"214","64","Fragmentação do sistema de saúde entre quem pode pagar e quem não pode","978.0","51.7","50.7","51.8","50.0","51.3","51.9","53.5","55.0"
"215","173","Poluição Interna Extrema (Indoor Air Quality) nos Novos Climas","978.0","51.7","51.0","50.9","51.8","50.0","51.2","52.0","59.4"
"216","184","Asfixia do Investimento em Deep-Tech Face ao ""Custo Zero"" do Software","978.0","51.7","52.0","53.8","53.6","50.0","53.5","50.0","46.9"
"217","192","Atrofia Epidêmica de Habilidades Motoras e Expressão Caligráfica","978.0","51.7","53.4","52.1","53.6","51.3","50.0","50.0","50.0"
"218","244","Absoluta Inadequação do Sistema Histórico de Medidas (P/M/G) do Varejo","978.0","51.7","50.0","56.2","51.8","51.7","51.2","50.0","50.0"
"219","255","Descarte Tóxico de Hardware IoT Doméstico Imediato","978.0","51.7","53.2","49.4","54.1","53.3","51.2","50.0","50.0"
"220","258","Saturação de Soluções Focadas Apenas em Engajamento","978.0","51.7","51.7","54.4","51.8","51.0","51.9","50.0","49.4"
"221","435","Epidemia de Solidão e Morte por Isolamento na Terceira Idade","978.0","51.7","51.0","53.8","51.8","50.0","50.0","56.0","50.0"
"222","436","Síndrome de Burnout na Geração Sanduíche","978.0","51.7","52.7","52.4","51.8","50.0","53.8","50.0","50.0"
"223","441","Fadiga de Ferramentas e Burnout do Modelo Híbrido","978.0","51.7","52.2","53.2","51.8","50.0","50.0","52.0","53.1"
"224","465","Fuga em Massa de Profissionais de Saúde para o Setor ""Premium""","978.0","51.7","52.4","54.7","51.8","50.0","50.0","50.0","51.9"
"225","70","Movimento anti-algoritmo e busca por curadoria humana","977.0","51.7","50.7","52.1","50.0","53.7","51.2","54.0","50.0"
"226","74","Valorização de experiências analógicas e locais como refúgio","977.0","51.7","50.0","54.7","55.9","51.0","50.0","50.0","50.0"
"227","108","Lobby Automatizado e Astroturfing Algorítmico","977.0","51.7","51.2","53.2","53.6","50.0","50.0","54.0","50.0"
"228","116","Estresse Térmico Pecuário e Quebra de Rendimento","977.0","51.7","52.2","52.9","54.1","50.0","50.0","50.0","52.5"
"229","130","Ameaça de Plataformas D2C Asiáticas ao Varejo Local","977.0","51.7","50.7","52.1","56.4","50.0","50.0","52.0","52.5"
"230","303","O Abismo Genômico do SUS e a Privatização da Sobrevivência","977.0","51.7","52.9","52.1","54.1","50.0","50.0","52.0","50.0"
"231","421","Insolvência Sistêmica de Resseguradoras Climáticas","977.0","51.7","53.2","53.5","51.8","50.0","50.0","50.0","51.9"
"232","432","Subutilização da Força de Trabalho Prateada","977.0","51.7","51.7","53.5","51.8","50.0","51.9","52.0","50.0"
"233","454","Fuga em Massa para Marcas Próprias e Commodities","977.0","51.7","52.2","54.4","53.6","50.0","50.0","52.0","47.5"
"234","33","Pressão sobre previdência em mercados com baixa produtividade","976.0","51.6","52.0","54.4","53.6","50.0","50.0","50.0","50.0"
"235","69","Dificuldade de construir vínculos profundos em ecossistemas digitais","976.0","51.6","50.0","54.4","50.0","51.7","51.2","54.0","50.0"
"236","103","Alucinação Algorítmica e Responsabilidade B2B","976.0","51.6","52.7","51.8","51.8","50.0","53.8","50.0","50.0"
"237","181","A Sangria das Altas Taxas Remessas Transfronteiriças","976.0","51.6","52.0","54.1","51.8","50.0","51.9","50.0","50.0"
"238","188","A Irracionalidade na Precificação de Bases de Dados Proprietárias (Data Moats)","976.0","51.6","52.4","49.4","51.8","52.0","53.8","54.0","46.9"
"239","245","A ""Gentrificação"" Esgotante da Espiritualidade e Retiros Imersivos","976.0","51.6","50.0","52.9","54.1","51.0","51.9","52.0","50.0"
"240","247","Defasagem Brutal dos Índices Oficiais Perante a Verdadeira Dor Inflacionária","976.0","51.6","52.7","52.6","53.6","51.0","50.0","50.0","50.0"
"241","269","Dependência Vital de Proteínas Base de Soja Para Alimentar Animais","976.0","51.6","52.2","53.5","51.8","50.0","52.3","50.0","50.0"
"242","278","Fuga Global Das Mídias Tradicionais Face À Extrema Negatividade Algorítmica","976.0","51.6","50.0","52.1","51.8","51.7","53.1","56.0","46.9"
"243","295","Choques Abruptos No Abastecimento Alimentar Das Regiões Costeiras Dependentes Do Desembarque Portuário Diário Único","976.0","51.6","52.2","52.6","51.8","50.0","50.0","50.0","55.6"
"244","322","Desvio e Escassez da Mão de Obra do Cuidado Diante do E-commerce","976.0","51.6","51.7","51.5","51.8","51.0","50.0","54.0","52.5"
"245","407","Gargalo no Licenciamento Ambiental de Linhas de Transmissão","976.0","51.6","51.0","52.4","51.8","51.7","51.2","52.0","51.9"
"246","424","Desconfiança Crônica em Seguros Paramétricos","976.0","51.6","53.9","50.0","51.8","52.7","51.2","50.0","50.0"
"247","449","Epidemia Oculta de Superendividamento Cotidiano Via BNPL","976.0","51.6","51.2","54.1","55.5","50.0","50.0","50.0","50.0"
"248","485","O Limbo Jurídico E Estrutural Do Imigrante Ambiental Transnacional","976.0","51.6","50.0","52.6","51.8","50.0","50.0","54.0","56.2"
"249","55","Epidemia de endividamento via parcelamento e BNPL","975.0","51.6","51.0","52.6","54.1","50.0","50.0","54.0","50.0"
"250","72","Bolhas culturais reforçadas por algoritmos de recomendação","975.0","51.6","50.0","54.1","50.0","51.3","50.0","52.0","55.0"
"251","157","Destruição Ambiental Prematura pela Corrida da Mineração de Fundo de Mar","975.0","51.6","52.0","51.8","54.1","50.0","50.0","52.0","51.9"
"252","209","O Abismo de Crédito para o Empreendedorismo de Maturidade (Silver Startups)","975.0","51.6","52.7","51.8","51.8","50.0","51.9","52.0","50.0"
"253","259","Silos Burocráticos de Proteção na Transferência Internacional de Talentos","975.0","51.6","51.7","51.2","51.8","51.7","51.2","52.0","51.9"
"254","274","Fadiga do Formato Híbrido Causando Retorno Obrigatório Punitivo (RTO)","975.0","51.6","50.7","50.9","54.1","51.0","51.9","52.0","51.9"
"255","472","Ameaça Existencial de Crimes Agênticos Escalados","975.0","51.6","51.2","52.1","53.6","50.0","50.0","53.5","51.9"
"256","18","Exposição de hospitais e serviços críticos a falhas de energia","974.0","51.5","52.9","50.9","50.0","51.3","51.2","52.0","51.9"
"257","34","Isolamento social de idosos em ambientes digitalizados","974.0","51.5","52.2","52.6","51.8","51.3","50.0","50.0","51.9"
"258","51","Expansão de assentamentos informais em áreas de risco","974.0","51.5","54.4","52.4","50.0","50.0","51.2","50.0","50.0"
"259","66","Crise de sono em populações hiperconectadas","974.0","51.5","54.1","50.0","54.1","50.0","50.0","50.0","51.9"
"260","83","Risco de captura regulatória por grandes players de tecnologia","974.0","51.5","52.7","50.9","54.5","50.0","51.9","50.0","50.0"
"261","164","O Caos do Licenciamento e Compliance para o Solopreneur Global","974.0","51.5","52.9","53.8","54.1","50.0","50.0","50.0","46.9"
"262","215","Desgaste Crônico pela Comunicação Assíncrona Total","974.0","51.5","52.4","52.6","51.8","52.0","50.0","50.0","50.0"
"263","222","Litígio Trabalhista em Propriedade Intelectual Híbrida (IA + Freelancer)","974.0","51.5","52.0","52.6","53.6","50.0","50.0","50.0","52.5"
"264","306","Colapso da Mobilidade de Massa por Extremos Climáticos Tropicais","974.0","51.5","52.2","53.5","51.8","51.3","50.0","50.0","50.0"
"265","447","A Crise da Média Gestão por Rejeição Gerencial","974.0","51.5","52.9","50.0","53.6","51.3","51.9","50.0","50.0"
"266","450","A Bifurcação Violenta do Varejo e o Fim do Meio Termo","974.0","51.5","50.0","53.5","53.6","50.0","51.9","52.0","50.0"
"267","469","Concentração Despotica de Poder nas Infraestruturas de LLMs","974.0","51.5","50.0","52.1","53.6","51.0","51.5","53.5","50.0"
"268","76","Vigilância algorítmica no trabalho","973.0","51.5","52.0","53.5","50.0","50.0","51.9","50.0","51.9"
"269","102","Rastreabilidade de Propriedade Intelectual na Era Generativa","973.0","51.5","50.7","50.0","56.4","52.3","50.0","52.0","50.0"
"270","113","Gargalo Geopolítico na Cadeia de Fertilizantes","973.0","51.5","52.0","52.9","53.6","51.0","51.2","50.0","47.5"
"271","120","Sarcopenia (Perda Muscular) pela Economia do GLP-1","973.0","51.5","52.2","53.2","53.6","50.0","50.0","50.0","50.0"
"272","147","Abandono Pós-Cirúrgico no Atendimento Domiciliar Senior","973.0","51.5","52.0","53.5","51.8","50.0","50.0","52.0","50.0"
"273","248","Sufocamento Burocrático de Spin-offs e IPOs da Pesquisa Acadêmica Base","973.0","51.5","51.7","51.2","51.8","51.0","51.9","50.0","53.1"
"274","256","Atrofia do Raciocínio Espacial pela Navegação GPS Automática","973.0","51.5","50.0","54.7","51.8","50.0","50.0","54.0","50.0"
"275","276","Queda Histórica Do Desenvolvimento De ""Fix-It-Yourself"" Na Juventude (Desuso Manual)","973.0","51.5","51.2","50.9","51.8","54.3","51.2","50.0","50.0"
"276","284","Dificuldades Brutais do Planejamento Econômico Do Fim De Vida (Death Techs) Frente as Barreiras Sociais Tabus","973.0","51.5","55.1","50.0","51.8","50.0","50.0","50.0","51.9"
"277","300","Vulnerabilidade Térmica dos Polos Industriais Tropicais (Zona Franca/LatAm)","973.0","51.5","52.2","51.5","55.9","50.0","50.0","50.0","50.6"
"278","444","Desconexão entre Cursos de Upskilling e a Demanda Real","973.0","51.5","53.2","52.1","51.8","50.0","50.0","52.0","50.0"
"279","48","Instrumentalização política da migração","972.0","51.4","52.0","50.0","50.0","52.3","50.0","56.0","50.0"
"280","101","Poluição de Dados e o Colapso de Modelos de IA","972.0","51.4","52.9","50.0","51.8","51.0","50.0","54.0","50.0"
"281","121","O Fim da Academia Tradicional Focada em ""Projeto Verão""","972.0","51.4","51.0","50.0","51.8","53.0","51.2","52.0","51.9"
"282","145","O Pesadelo Legal da Sucessão de Ativos Digitais","972.0","51.4","51.0","52.1","51.8","51.3","50.0","52.0","52.5"
"283","172","Ruptura das Operações Logísticas de Limpeza Urbana","972.0","51.4","52.2","51.2","51.8","51.3","51.2","52.0","49.4"
"284","182","Falta de Liquidez e Paralisia nos Fundos Verdes de Infraestrutura","972.0","51.4","52.4","51.5","51.8","50.0","51.9","50.0","51.9"
"285","186","Captura Abusiva dos Ativos da Longevidade (Elder Financial Abuse)","972.0","51.4","51.2","52.6","51.8","50.0","50.0","52.0","53.1"
"286","264","Fadiga do Extrativismo de Baterias e a Crise do Lítio","972.0","51.4","53.2","49.4","57.3","50.0","50.0","50.0","50.0"
"287","423","Quebras Multicontinentais Ameaçando a Segurança Alimentar","972.0","51.4","52.0","52.1","51.8","50.0","50.0","50.0","55.0"
"288","471","A ""Soberania de GPU"" aprofundando o Subdesenvolvimento do Sul Global","972.0","51.4","50.0","54.1","53.6","50.0","51.9","50.0","50.0"
"289","62","Pressão estética e saúde mental ligada ao novo padrão corpo-medicado","971.0","51.4","51.0","50.0","54.5","50.0","50.0","52.0","55.0"
"290","78","Mercantilização extrema de dados sensíveis","971.0","51.4","52.7","50.0","50.0","51.0","51.9","52.0","51.9"
"291","93","Concorrência entre agendas climática e de desenvolvimento imediato","971.0","51.4","52.0","50.0","50.0","51.0","56.5","50.0","48.8"
"292","115","Diluição Nutricional Causada por Excesso de CO2","971.0","51.4","51.0","52.1","51.8","52.7","51.2","50.0","50.0"
"293","140","Falta de Linhas de Base no Declínio Cognitivo Idoso","971.0","51.4","53.9","50.0","51.8","52.0","50.0","50.0","50.0"
"294","142","Desnutrição Silenciosa por Perda Sensorial na Maturidade","971.0","51.4","53.7","50.0","53.6","50.0","50.0","51.5","50.0"
"295","223","Envenenamento Ativo de Dados como Protesto Artístico","971.0","51.4","50.7","50.9","51.8","51.0","51.9","54.0","50.0"
"296","242","Os ""Padrões Sombrios"" e A Fricção Prisional dos Cancelamentos Digitais","971.0","51.4","52.0","51.8","51.8","50.0","53.1","50.0","50.0"
"297","252","Dependência Sistêmica da Importação de Fósforo Agrícola","971.0","51.4","52.2","52.6","51.8","50.0","50.0","52.0","50.0"
"298","270","Custo de Refrigeração Logística Oculto Em Produtos Alimentícios Diferenciados","971.0","51.4","51.2","51.8","53.6","51.3","51.2","50.0","50.0"
"299","302","Sufocamento Hídrico do Agronegócio no Cerrado e a Economia Prateada","971.0","51.4","52.0","50.0","53.6","51.0","50.0","52.0","51.9"
"300","404","Subutilização Crônica da Geração Descentralizada","971.0","51.4","51.0","50.0","54.5","51.3","50.0","52.0","52.5"
"301","431","Inadequação Crítica do Estoque Habitacional Urbano","971.0","51.4","50.0","54.1","51.8","51.7","50.0","50.0","51.9"
"302","442","Deserção em Massa nas Profissões de Infraestrutura Social","971.0","51.4","52.7","52.6","51.8","51.3","50.0","50.0","48.8"
"303","14","Descompasso entre incentivos verdes e realocação produtiva","970.0","51.3","52.0","51.5","55.5","50.0","50.0","50.0","50.0"
"304","21","Perdas agrícolas crescentes por extremos climáticos","970.0","51.3","52.4","52.1","52.3","50.0","51.2","50.0","50.0"
"305","26","Risco de insolvência de seguradoras em eventos extremos","970.0","51.3","52.9","51.5","50.0","50.0","50.0","50.0","55.0"
"306","85","Vulnerabilidade cibernética de infraestruturas críticas","970.0","51.3","50.0","53.8","51.8","50.0","50.0","54.0","50.0"
"307","104","Perda de Conhecimento Tácito na Transição Demográfica","970.0","51.3","52.4","52.1","53.6","50.0","50.0","50.0","50.0"
"308","132","Gamificação do Vício Financeiro na Geração Z","970.0","51.3","52.2","51.5","51.8","50.0","50.0","52.0","51.9"
"309","138","Bolha Inflacionária da Humanização de Pets","970.0","51.3","52.4","50.0","55.5","50.0","50.0","50.0","51.9"
"310","158","O Apagão de Mão de Obra na Manufatura de Defesa e Indústria Pesada","970.0","51.3","52.4","52.4","51.8","50.0","51.2","50.0","50.0"
"311","166","Perda da Colisão Criativa no Trabalho Híbrido Assíncrono","970.0","51.3","51.2","53.5","53.6","50.0","51.9","50.0","46.9"
"312","171","Sufocamento Global na Emissão de Gases pelo Uso Contínuo de Concreto","970.0","51.3","51.2","52.1","55.9","50.0","50.0","50.0","50.0"
"313","185","Distorção Predatória nas Agências de Rating ESG","970.0","51.3","52.0","51.5","51.8","50.0","51.9","50.0","51.9"
"314","309","Colapso da Matriz Hidrelétrica Dependente Frente às Ondas de Calor Simultâneas","970.0","51.3","52.2","52.4","51.8","50.0","50.0","52.0","50.0"
"315","451","Exaustão Social perante a Homogeneização Algorítmica","970.0","51.3","50.0","54.1","51.8","50.0","50.0","52.0","51.9"
"316","461","Pressão Estética Devastadora e o ""Corpo Medicado""","970.0","51.3","52.0","51.5","51.8","50.0","51.5","52.0","50.0"
"317","28","Assimetria de informação sobre risco climático em comunidades","969.0","51.3","52.2","49.4","50.0","52.7","51.2","53.0","50.0"
"318","107","Padrões Sombrios em Aplicativos de Companhia por IA","969.0","51.3","50.7","53.2","51.8","51.0","51.2","50.0","50.0"
"319","187","Fricção na Monetização de Microsserviços e Infernências Autônomas","969.0","51.3","50.0","50.0","53.6","52.3","51.9","52.0","50.0"
"320","194","Substituição Terminal do Romance Humano pela Relacionalidade Parassocial","969.0","51.3","50.0","53.8","51.8","50.0","50.0","52.0","51.9"
"321","207","A Caixa Preta Financeira e Familiar do Divórcio Prateado (Grey Divorce)","969.0","51.3","50.7","50.9","51.8","51.0","50.0","52.0","54.4"
"322","210","A Saturação e Despadronização das Instituições de Longa Permanência","969.0","51.3","51.2","52.1","53.6","50.0","50.0","52.0","50.0"
"323","305","A Ruptura do Modelo 'Motoboy' Diante da Economia Prateada e Acessibilidade","969.0","51.3","52.0","52.4","53.6","50.0","51.9","50.0","46.9"
"324","40","Choque de valores entre Geração Z e modelos de gestão tradicionais","968.0","51.2","51.7","51.5","50.0","51.0","51.9","50.0","51.9"
"325","43","Precarização disfarçada sob a bandeira da flexibilidade","968.0","51.2","52.2","50.0","53.6","50.0","50.0","50.0","53.8"
"326","79","Dificuldade de cidadãos exercerem seus direitos de dados","968.0","51.2","52.7","50.0","52.3","51.0","50.0","52.0","50.0"
"327","90","Insuficiência de governança global para crises de escassez","968.0","51.2","51.0","52.6","51.8","51.3","50.0","50.0","51.2"
"328","151","Droneificação Assimétrica do Crime e Conflitos Urbanos","968.0","51.2","51.7","50.0","51.8","51.0","51.9","52.0","50.0"
"329","161","Multiplicação Insana de ""Tarefas Fantasmas"" nas Corporações","968.0","51.2","51.2","50.9","51.8","52.3","50.0","52.0","50.0"
"330","179","Destruição do Asfalto pelas Frotas Elétricas Pesadas","968.0","51.2","52.0","50.9","54.1","50.0","50.0","51.5","50.0"
"331","233","Desequilíbrio Hormonal e Quebras de Período Fértil Devido à Perda de Peso Radicais","968.0","51.2","52.2","51.5","54.1","50.0","50.0","50.0","50.0"
"332","249","Fadiga Brutal da Empatia Decorrente do Ciclo de Notícias Hiper-Conectadas","968.0","51.2","51.0","52.1","51.8","50.0","50.0","50.0","55.0"
"333","440","Ansiedade de Obsolescência Frente à IA Agêntica","968.0","51.2","51.2","52.6","54.1","50.0","50.0","50.0","50.0"
"334","58","Ausência de redes formais de proteção em crises de dívida","967.0","51.2","52.9","50.0","51.8","50.0","50.0","53.0","50.0"
"335","156","Risco de Hackeamento Físico do Suprimento Municipal de Água","967.0","51.2","52.2","50.3","51.8","51.3","50.0","52.0","50.0"
"336","176","Perda Incalculável por Vazamentos Subterrâneos em Redes Urbanas","967.0","51.2","52.4","50.0","53.6","50.0","50.0","52.0","50.0"
"337","229","Exaustão Trauma Secundário em Treinadores Humanos de Modelos de IA","967.0","51.2","52.7","52.1","51.8","50.0","50.0","50.0","50.0"
"338","234","Patologização do Luto e Emoções Humanas Naturais","967.0","51.2","52.9","50.0","51.8","50.0","51.2","50.0","51.9"
"339","271","Subdesenvolvimento e Inanição Da Estrutura Periférica Universitaria","967.0","51.2","50.7","51.5","51.8","51.7","51.9","50.0","50.0"
"340","285","Descolamento da Validação Científica dos Painéis Biométricos","967.0","51.2","50.7","50.9","51.8","53.0","50.0","50.0","51.9"
"341","428","Dependência Tóxica de Subsídios Estatais na Agricultura","967.0","51.2","51.0","50.0","51.8","51.3","50.0","52.0","53.8"
"342","433","Exclusão Digital e Isolamento Bancário do Idoso","967.0","51.2","52.2","52.9","53.6","50.0","50.0","50.0","46.9"
"343","459","Segregação no Acesso a Protocolos Avançados de Longevidade","967.0","51.2","51.0","51.8","51.8","51.7","50.0","50.0","51.9"
"344","4","Segurança hídrica de comunidades rurais vulneráveis","966.0","51.1","50.7","50.0","51.8","51.7","51.2","55.0","47.5"
"345","25","Subseguro climático estrutural em agricultura","966.0","51.1","52.2","50.0","50.0","50.0","53.5","50.0","51.9"
"346","27","Baixa penetração de seguros paramétricos inovadores","966.0","51.1","52.0","50.0","50.0","50.0","51.9","51.5","53.1"
"347","86","Uso ofensivo de IA em ataques e fraudes","966.0","51.1","50.0","53.5","54.1","50.0","50.0","50.0","50.0"
"348","109","Hegemonia de LLMs Anglocêntricos Esmagando Culturas Locais","966.0","51.1","51.2","53.5","51.8","50.0","50.0","50.0","50.0"
"349","144","Retraimento Social Acelerado pela Perda Auditiva","966.0","51.1","51.2","51.5","51.8","51.3","50.0","50.0","51.9"
"350","168","Falha Total na Garantia de Qualidade de Códigos Sintéticos","966.0","51.1","52.0","51.2","51.8","50.0","50.0","50.0","53.1"
"351","243","A Crise Sistêmica no Investimento Esportivo Local por Polarização do Niche-Market","966.0","51.1","51.0","50.9","53.6","50.0","51.5","51.0","50.0"
"352","265","Invasão Sistêmica de Fauna Migrante e Raiva Zoonótica em Grandes Cidades","966.0","51.1","52.0","50.0","51.8","51.3","50.0","50.0","53.1"
"353","409","Tensões Sociais no Enterramento de Redes Urbanas","966.0","51.1","52.2","50.0","53.6","50.0","50.0","52.0","50.0"
"354","422","Exclusão Tecnológica do Pequeno Produtor Agrícola","966.0","51.1","52.0","52.6","53.6","50.0","50.0","50.0","47.5"
"355","426","Guerra Física por Alocação de Água","966.0","51.1","50.7","52.9","51.8","50.0","50.0","52.0","50.0"
"356","439","Deficiência na Segurança da Mobilidade Urbana Prateada","966.0","51.1","50.0","50.9","51.8","52.7","51.2","52.0","49.4"
"357","481","Mortalidade Urbana Acirrada Pelo Paradoxo das Ilhas de Calor","966.0","51.1","51.2","50.0","51.8","50.0","50.0","53.5","53.1"
"358","491","O Vácuo no Preparo Emocional e Resiliência Para Um Mundo Volátil","966.0","51.1","52.2","50.0","53.6","50.0","50.0","52.0","50.0"
"359","10","Ausência de cadeias circulares para metais estratégicos","965.0","51.1","54.1","48.8","52.3","51.0","51.2","50.0","47.5"
"360","44","Falta de trilhas de requalificação ancoradas em resultados","965.0","51.1","51.5","50.0","50.0","53.0","51.9","50.0","50.0"
"361","53","Transporte público saturado e pouco confiável","965.0","51.1","52.4","50.9","50.0","50.0","50.0","52.0","51.9"
"362","105","Extinção do Trabalho Júnior e o Apagão de Seniores do Futuro","965.0","51.1","51.5","50.0","51.8","50.0","53.8","50.0","50.0"
"363","124","Toxicidade Financeira Vitalícia de Prescrições de Bem-Estar","965.0","51.1","51.0","50.0","51.8","50.0","54.6","50.0","50.0"
"364","174","O Pesadelo da ""Logística dos Últimos 50 Metros""","965.0","51.1","53.2","49.4","51.8","50.0","50.0","50.0","53.1"
"365","225","O Apagamento Silencioso de Dialetos e Nuances Linguísticas Locais","965.0","51.1","51.0","50.0","54.1","50.0","50.0","53.5","50.0"
"366","253","A Quebra de Margem na Rotação Diária de Painéis e Telhados Solares","965.0","51.1","51.2","52.1","53.6","50.0","50.0","50.0","50.0"
"367","301","O Choque entre Agentes de IA e o Labirinto do Licenciamento Ambiental","965.0","51.1","52.0","50.0","54.1","50.0","50.0","50.0","51.9"
"368","319","Insegurança Sistêmica de Infraestrutura de Roteadores Baratos em Casas Inteligentes","965.0","51.1","52.0","50.3","54.1","51.0","50.0","52.0","46.9"
"369","401","Competição Predatória entre Data Centers de IA e Cidades","965.0","51.1","50.0","52.4","51.8","51.3","50.0","52.0","50.0"
